metric_freq,metric_name_in,metric_unit,metric_formula
once,Company Name,text,"""=@CIQ(""PARAM_stock_code"", ""IQ_COMPANY_NAME"")"""
once,Currency,text,"""=@CIQ(""PARAM_stock_code"", ""IQ_FILING_CURRENCY"", , ""PARAM_date_update"")"""
once,Last Close,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_LASTSALEPRICE"", ""PARAM_date_update"", ""LOCAL"")"""
once,Fully diluted shares outstanding,M,"""=@CIQ(""PARAM_stock_code"", ""IQ_SHARESOUTSTANDING_OUT"",""PARAM_date_update"")"""
once,Market Cap,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_MARKETCAP"", ""PARAM_date_update"", ""LOCAL"")"""
once,(-) Cash,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_CASH_ST_INVEST"", ""IQ_LTM"",  ""PARAM_date_update"", , , ""LOCAL"")"""
once,(+) Debt,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_TOTAL_DEBT"", ""IQ_LTM"", ""PARAM_date_update"", , , ""LOCAL"")"""
once,Enterprise Value,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_TEV"", ""PARAM_date_update"", ""LOCAL"")"""
fy,Revenue,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_TOTAL_REV"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"
fy,Gross Profit,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_GP"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"
fy,EBITDA,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_EBITDA"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"
fy,Depreciation & Amortisation,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_DA_CF"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"
fy,Statutory Net Profit,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_NI"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"
fy,Interest Expense,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_INTEREST_EXP"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"
fy,Interest Income,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_INTEREST_INVEST_INC"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"
fy,Total Cash and Short Term Investment,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_CASH_ST_INVEST"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"""
fy,Total Debt,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_TOTAL_DEBT"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"""
fy,Total Assets,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_TOTAL_ASSETS"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"""
fy,Total Liabilities,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_TOTAL_LIAB"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"""
fy,Total Equity,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_TOTAL_EQUITY"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"""
fy,Diluted Shares Outstanding,M,"""=@CIQ(""PARAM_stock_code"", ""IQ_SHARESOUTSTANDING_OUT"",""PARAM_date_fy_end"")"""
fy,Dividend,$M,"""=@CIQ(""PARAM_stock_code"",""IQ_TOTAL_DIV_PAID_CF"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"""
fy,Buybacks,$M,"""=@CIQ(""PARAM_stock_code"", ""IQ_COMMON_REP"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"""
fy,Capital Expenditure,$M,"""=@CIQ(""PARAM_stock_code"",""IQ_CAPEX"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"""
fy,Cash from Operations (Operating Cash Flow),$M,"""=@CIQ(""PARAM_stock_code"",""IQ_CASH_OPER"", ""PARAM_FY"",""PARAM_date_update"", , , ""LOCAL"")"""
fy,Share Price (year-end),$,"""=@CIQ(""PARAM_stock_code"", ""IQ_LASTSALEPRICE"", ""PARAM_date_fy_end"", ""LOCAL"")"""
fy,EV / EBITDA (Annual Average),X,"""=@CIQAVG(""PARAM_stock_code"", ""IQ_TEV_EBITDA"", , ""PARAM_date_fy_start"", ""PARAM_date_fy_end"")"""
